"","County.Code","Arithmetic.Mean"
"7464","00071",10.927083
"7465","00071",10.927083
"7466","00071",10.927083
"7467","00071",10.927083
"7468","00071",12.1
"7469","00071",12.1
"7470","00071",12.1
"7471","00071",12.1
"7495","00071",6.510714
"7496","00071",6.510714
"7497","00071",6.510714
"7498","00071",6.510714
"7538","00071",9.75
"7539","00071",9.75
"7540","00071",9.75
"7541","00071",9.75
"7587","00073",8.627778
"7588","00073",8.627778
"7589","00073",8.627778
"7590","00073",8.627778
"7653","00073",9.548325
"7654","00073",9.548325
"7655","00073",9.548325
"7656","00073",9.548325
"7663","00073",5.091346
"7664","00073",5.091346
"7665","00073",5.073973
"7666","00073",5.073973
"7667","00073",5.073973
"7668","00073",5.073973
"7706","00073",7.873118
"7707","00073",7.873118
"7708","00073",7.873118
"7709","00073",7.873118
"7710","00073",7.791111
"7711","00073",7.791111
"7712","00073",7.791111
"7713","00073",7.791111
"7773","00073",7.538
"7774","00073",7.538
"7775","00073",7.538
"7776","00073",7.538
"7891","00073",9.776842
"7892","00073",9.776842
"7893","00073",9.776842
"7894","00073",9.776842
"7910","00073",7.840166
"7911","00073",7.840166
"7912","00073",7.786029
"7913","00073",7.786029
"7914","00073",7.786029
"7915","00073",7.786029
"8004","00075",7.153181
"8005","00075",7.142034
"8006","00075",7.142034
"8007","00075",7.142034
"8008","00075",7.142034
"8056","00077",12.810082
"8057","00077",12.783051
"8058","00077",12.783051
"8059","00077",12.783051
"8060","00077",12.783051
"8061","00077",14.27508
"8062","00077",14.282524
"8063","00077",14.282524
"8064","00077",14.282524
"8065","00077",14.282524
"8075","00077",8.913921
"8076","00077",8.860684
"8077","00077",8.860684
"8078","00077",8.860684
"8079","00077",8.860684
"8126","00079",5.622908
"8127","00079",5.570388
"8128","00079",5.570388
"8129","00079",5.570388
"8130","00079",5.570388
"8143","00079",9.243035
"8144","00079",9.182292
"8145","00079",9.182292
"8146","00079",9.182292
"8147","00079",9.182292
"8154","00079",8.991857
"8155","00079",8.965025
"8156","00079",8.965025
"8157","00079",8.965025
"8158","00079",8.965025
"8200","00079",5.826456
"8201","00079",5.777926
"8202","00079",5.777926
"8203","00079",5.777926
"8204","00079",5.777926
"8259","00081",8.551009
"8260","00081",8.556357
"8261","00081",8.556357
"8262","00081",8.556357
"8263","00081",8.556357
"8329","00083",7.596587
"8330","00083",7.553696
"8331","00083",7.553696
"8332","00083",7.553696
"8333","00083",7.553696
"8485","00083",7.499576
"8486","00083",7.468163
