"","State.Code","Arithmetic.Mean"
"1016","00004",6.050276
"1017","00004",5.983761
"1018","00004",5.983761
"1019","00004",5.983761
"1020","00004",5.983761
"1044","00004",6.68282
"1045","00004",6.620921
"1046","00004",6.620921
"1047","00004",6.620921
"1048","00004",6.620921
"1171","00004",8.275142
"1172","00004",8.339286
"1173","00004",8.339286
"1174","00004",8.339286
"1175","00004",8.339286
"1204","00004",6.996047
"1205","00004",6.95
"1206","00004",6.95
"1207","00004",6.95
"1208","00004",6.95
"1280","00004",7.87602
"1281","00004",7.828452
"1282","00004",7.828452
"1283","00004",7.828452
"1284","00004",7.828452
"1295","00004",13.612554
"1296","00004",13.576136
"1297","00004",13.576136
"1298","00004",13.576136
"1299","00004",13.576136
"1329","00004",8.16087
"1330","00004",8.16087
"1331","00004",8.16087
"1332","00004",8.16087
"1333","00004",6.921053
"1334","00004",6.921053
"1335","00004",6.921053
"1336","00004",6.921053
"1393","00004",9.195165
"1394","00004",9.178512
"1395","00004",9.178512
"1396","00004",9.178512
"1397","00004",9.178512
"1771","00004",7.952809
"1772","00004",7.952809
"1773","00004",7.952809
"1774","00004",7.952809
"1775","00004",7.46569
"1776","00004",7.422989
"1777","00004",7.422989
"1778","00004",7.422989
"1779","00004",7.422989
"1837","00004",4.152
"1838","00004",4.152
"1839","00004",4.152
"1840","00004",4.152
"1865","00004",5.869048
"1866","00004",5.869048
"1867","00004",5.869048
"1868","00004",5.869048
"1961","00004",5.644828
"1962","00004",5.644828
"1963","00004",5.644828
"1964","00004",5.644828
"1965","00004",5.48
"1966","00004",5.48
"1967","00004",5.48
"1968","00004",5.48
"1969","00004",4.258672
"1970","00004",4.212639
"1971","00004",4.212639
"1972","00004",4.212639
"1973","00004",4.212639
"2087","00004",9.098333
"2088","00004",9.098333
"2089","00004",9.098333
"2090","00004",9.098333
"2091","00004",9.570475
"2092","00004",9.521143
"2093","00004",9.521143
"2094","00004",9.521143
"2095","00004",9.521143
"2104","00004",5.606667
"2105","00004",5.606667
"2106","00004",5.606667
"2107","00004",5.606667
"2137","00004",13.283636
"2138","00004",13.283636
"2139","00004",13.283636
"2140","00004",13.283636
"2141","00004",12.544828
"2142","00004",12.544828
"2143","00004",12.544828
"2144","00004",12.544828
"2145","00004",12.102699
"2146","00004",12.097605
"2147","00004",12.097605
"2148","00004",12.097605
"2149","00004",12.097605
"2339","00004",9.640909
"2340","00004",9.640909
"2341","00004",9.640909
"2342","00004",9.640909
"2343","00004",9.254791
"2344","00004",9.237165
"2345","00004",9.237165
"2346","00004",9.237165
"2347","00004",9.237165
"2362","00004",8.569646
"2363","00004",8.44186
"2364","00004",8.44186
"2365","00004",8.749421
"2366","00004",8.44186
"2372","00005",8.107692
"2373","00005",8.107692
"2374","00005",8.107692
"2375","00005",8.107692
"2381","00005",7.976136
"2382","00005",7.976136
"2383","00005",7.976136
"2384","00005",7.976136
"2402","00005",8.160674
"2403","00005",8.160674
"2404","00005",8.160674
"2405","00005",8.160674
"2418","00005",8.224719
"2419","00005",8.224719
"2420","00005",8.224719
"2421","00005",8.224719
"2422","00005",9.35
"2423","00005",9.35
"2424","00005",9.35
"2425","00005",9.35
"2431","00005",7.322353
"2432","00005",7.322353
"2433","00005",7.322353
"2434","00005",7.322353
"2444","00005",8.218889
"2445","00005",8.218889
"2446","00005",8.218889
"2447","00005",8.218889
"2489","00005",9.067518
"2490","00005",9.067518
"2491","00005",9.067518
"2492","00005",9.067518
"2493","00005",9.845455
"2494","00005",9.845455
"2495","00005",9.845455
"2496","00005",9.845455
"2573","00005",9.107609
"2574","00005",9.107609
"2575","00005",9.107609
"2576","00005",9.107609
"2589","00005",8.658696
"2590","00005",8.658696
"2591","00005",8.658696
"2592","00005",8.658696
"2604","00005",8.153846
"2605","00005",8.153846
"2606","00005",8.153846
"2607","00005",8.153846
"2701","00006",7.339016
"2702","00006",7.280537
"2703","00006",7.280537
"2704","00006",7.280537
"2705","00006",7.280537
"2738","00006",5.787474
"2739","00006",5.735548
"2740","00006",5.735548
"2741","00006",5.735548
"2742","00006",5.735548
"2781","00006",8.422131
"2782","00006",8.424444
"2783","00006",8.424444
"2784","00006",8.424444
"2785","00006",8.424444
"2815","00006",8.77549
"2816","00006",8.72392
"2817","00006",8.72392
"2818","00006",8.72392
"2819","00006",8.72392
"2853","00006",6.960863
"2854","00006",6.925439
"2855","00006",6.925439
"2856","00006",6.925439
"2857","00006",6.925439
"3002","00006",6.494196
"3003","00006",6.494196
"3004","00006",6.494196
"3005","00006",6.494196
"3079","00006",7.532225
"3080","00006",7.484298
"3081","00006",7.484298
"3082","00006",7.484298
"3083","00006",7.484298
"3084","00006",6.705494
"3085","00006",6.705494
"3086","00006",7.112717
"3087","00006",7.112717
"3088","00006",7.112717
"3089","00006",7.112717
"3113","00006",6.065
"3114","00006",6.065
"3115","00006",6.065
"3116","00006",6.065
"3158","00006",5.087938
"3159","00006",5.035088
